City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Provideniya,RU,64.3833,-173.3,27.63,69,1,2.75,clear sky
222,Hovd,MN,48.0056,91.6419,27.23,36,21,6.44,few clouds
223,Sorong,ID,-0.8833,131.25,80.33,83,100,7.11,overcast clouds
224,Amapa,BR,1.0,-52.0,80.65,83,100,5.44,overcast clouds
225,Balkhash,KZ,46.844,74.9804,45.75,41,100,22.68,overcast clouds
226,Harper,LR,4.375,-7.7169,82.36,82,100,11.39,overcast clouds
227,Nanakuli,US,21.3906,-158.1547,78.75,78,100,6.91,overcast clouds
228,Namatanai,PG,-3.6667,152.4333,78.01,75,91,3.58,overcast clouds
229,Cabo San Lucas,MX,22.8909,-109.9124,81.61,64,0,6.91,clear sky
230,Pevek,RU,69.7008,170.3133,2.77,98,98,4.47,overcast clouds
231,Formosa,AR,-26.1775,-58.1781,87.69,58,42,10.85,scattered clouds
232,Heihe,CN,50.2441,127.4902,43.38,74,100,3.6,overcast clouds
233,Meulaboh,ID,4.1363,96.1285,78.49,86,57,1.81,broken clouds
234,Roma,US,43.2128,-75.4557,77.83,37,0,11.5,clear sky
235,Okhotsk,RU,59.3833,143.3,24.13,98,100,7.34,overcast clouds
236,Bassano,CA,50.7834,-112.4685,56.64,34,1,9.71,clear sky
237,Padang,ID,-0.9492,100.3543,78.26,87,100,4.61,moderate rain
238,Makakilo City,US,21.3469,-158.0858,77.32,71,100,13.8,overcast clouds
239,Agaro,ET,7.85,36.65,64.58,89,100,1.19,light rain
240,Aloleng,PH,16.1307,119.7824,81.99,80,7,5.44,clear sky
241,Husavik,IS,66.0449,-17.3389,43.12,83,100,2.21,overcast clouds
242,Miri,MY,4.4148,114.0089,78.35,86,100,2.35,overcast clouds
243,Bilgi,IN,16.35,75.6167,89.46,33,2,5.1,clear sky
244,Bomi,SL,7.2461,-11.5258,82.42,76,100,8.12,overcast clouds
245,Novyy Urengoy,RU,66.0833,76.6333,1.67,99,96,4.92,overcast clouds
246,Mengcheng,CN,33.2579,116.5655,68.74,93,100,7.56,moderate rain
247,Tianpeng,CN,30.9866,103.9393,65.79,75,100,7.47,overcast clouds
248,Nishihara,JP,26.1842,127.7558,75.25,97,40,9.22,scattered clouds
249,Ejido,VE,8.5514,-71.2375,73.65,86,100,3.02,overcast clouds
250,Isangel,VU,-19.55,169.2667,76.21,80,98,14.25,overcast clouds
251,Quatre Cocos,MU,-20.2078,57.7625,73.09,73,100,18.92,light rain
252,Te Anau,NZ,-45.4167,167.7167,45.82,87,55,1.25,broken clouds
253,Tall Kayf,TR,37.0833,41.0667,70.14,40,99,3.74,overcast clouds
254,Muzhi,RU,65.3667,64.6667,14.22,98,91,3.58,overcast clouds
255,Belmonte,BR,-15.8631,-38.8828,82.69,73,23,9.1,few clouds
256,Bilibino,RU,68.0546,166.4372,3.9,97,72,4.16,broken clouds
257,Ozernovskiy,RU,51.5,156.5167,32.0,89,100,9.35,overcast clouds
258,Port Hedland,AU,-20.3167,118.5667,69.85,88,0,6.91,clear sky
259,Praia,CV,14.9215,-23.5087,82.94,42,0,14.97,clear sky
260,Grindavik,IS,63.8424,-22.4338,45.07,81,100,11.5,overcast clouds
261,Nokha,IN,27.6,73.4167,84.31,12,0,5.28,clear sky
262,Avera,US,33.194,-82.5271,82.54,45,12,7.05,few clouds
263,Urubicha,BO,-15.3833,-62.95,85.84,61,100,4.83,overcast clouds
264,Buchanan,LR,5.8808,-10.0467,81.54,82,78,5.68,light rain
265,Pitkyaranta,RU,61.5734,31.4792,34.54,88,38,10.27,scattered clouds
266,Prince Rupert,CA,54.3161,-130.3201,42.33,90,100,6.46,light rain
267,Holsted,DK,55.5109,8.9187,48.74,75,64,12.5,broken clouds
268,Basoko,CD,1.2391,23.616,73.22,93,100,4.81,overcast clouds
269,Kununurra,AU,-15.7667,128.7333,67.98,88,67,0.0,broken clouds
270,Kavieng,PG,-2.5744,150.7967,81.46,76,100,7.58,overcast clouds
271,Polje,BA,43.8806,18.0744,60.04,81,7,5.44,clear sky
272,Bubaque,GW,11.2833,-15.8333,77.7,81,76,19.69,broken clouds
273,Keita,NE,14.7551,5.7749,92.07,9,100,3.27,overcast clouds
274,Pereira Barreto,BR,-20.6383,-51.1092,90.97,32,77,4.72,broken clouds
275,Fortuna,US,40.5982,-124.1573,59.94,76,75,9.22,broken clouds
276,Lavrentiya,RU,65.5833,-171.0,18.39,88,44,4.81,scattered clouds
277,Luderitz,NA,-26.6481,15.1594,59.0,56,0,23.47,clear sky
278,Klaksvik,FO,62.2266,-6.589,41.92,83,100,15.95,overcast clouds
279,Kabinda,CD,-6.1333,24.4833,67.96,95,59,2.77,broken clouds
280,Laguna,US,38.421,-121.4238,75.43,41,0,4.61,clear sky
281,General Roca,AR,-39.0333,-67.5833,72.41,30,85,43.69,overcast clouds
282,Pyapon,MM,16.2833,95.6833,83.28,75,100,8.12,overcast clouds
283,Walvis Bay,NA,-22.9575,14.5053,58.08,66,0,18.61,clear sky
284,Natal,BR,-5.795,-35.2094,83.05,74,75,10.36,broken clouds
285,Blagoyevo,RU,63.3667,47.9167,31.05,92,92,3.47,overcast clouds
286,Kiruna,SE,67.8557,20.2251,36.52,70,100,2.3,overcast clouds
287,Kerteminde,DK,55.449,10.6577,46.74,82,41,10.83,scattered clouds
288,Stonewall,CA,50.1344,-97.3268,30.78,94,100,26.15,light snow
289,Tabou,CI,4.423,-7.3528,82.35,82,100,11.59,overcast clouds
290,Satun,TH,6.8333,100.0,78.8,95,34,2.82,scattered clouds
291,Kamenka,RU,51.3223,42.7678,53.78,70,100,10.42,overcast clouds
292,Potsdam,DE,52.3989,13.0657,56.17,81,100,8.99,light rain
293,Camacha,PT,33.0833,-16.3333,63.82,63,20,16.11,few clouds
294,Rawson,AR,-43.3002,-65.1023,68.79,36,92,38.7,overcast clouds
295,Esna,EG,25.2934,32.554,82.85,9,0,9.31,clear sky
296,Moyale,KE,3.5167,39.0584,68.79,81,100,4.56,light rain
297,Puro,PH,12.4841,123.3827,79.86,85,100,11.63,overcast clouds
298,Lebu,CL,-37.6167,-73.65,53.6,83,100,17.25,overcast clouds
299,Hammerfest,NO,70.6634,23.6821,36.05,80,75,3.44,broken clouds
300,Umm Lajj,SA,25.0213,37.2685,78.4,50,0,0.76,clear sky
301,Gao,ML,16.6362,1.637,91.08,9,0,10.27,clear sky
302,Marystown,CA,47.1666,-55.1483,40.86,100,100,5.01,overcast clouds
303,Lazaro Cardenas,MX,17.9583,-102.2,83.82,52,57,10.69,broken clouds
304,Soyo,AO,-6.1349,12.3689,78.55,90,70,6.13,broken clouds
305,Mastic Beach,US,40.7668,-72.8521,58.98,59,0,15.99,clear sky
306,Baft,IR,29.234,56.6057,61.3,27,55,7.02,broken clouds
307,Roald,NO,62.5833,6.1333,52.72,81,0,17.27,clear sky
308,Kamiichi,JP,36.7,137.3667,59.23,73,36,3.94,scattered clouds
