City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Laguna,US,75.43,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
281,General Roca,AR,72.41,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
282,Pyapon,MM,83.28,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
284,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
289,Tabou,CI,82.35,overcast clouds,4.423,-7.3528,hotêl doufoulougou
290,Satun,TH,78.8,scattered clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
295,Esna,EG,82.85,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
300,Umm Lajj,SA,78.4,clear sky,25.0213,37.2685,Moon light Furnished Units
303,Lazaro Cardenas,MX,83.82,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
304,Soyo,AO,78.55,broken clouds,-6.1349,12.3689,Hotel Mpampa
311,Turkmenabat,TM,75.97,clear sky,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
313,Ilhabela,BR,76.19,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
315,Biak,ID,77.05,broken clouds,-0.9131,122.8766,Penginapan Kim
320,Moctezuma,MX,82.15,clear sky,29.8,-109.6667,Hotel Lobohombo
322,Inirida,CO,79.7,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
323,Souillac,MU,75.52,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
324,Isabela,PH,79.65,overcast clouds,6.7085,121.9711,Isawad Resort
325,Tevaitoa,PF,81.01,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
326,Caravelas,BR,83.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
327,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
328,Onda,ES,70.65,few clouds,39.9667,-0.25,Motel Shhh
331,Kloulklubed,PW,81.34,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
336,Mackay,AU,72.68,overcast clouds,-21.15,149.2,International Lodge Motel
338,Viedma,AR,71.33,overcast clouds,-40.8135,-62.9967,Hotel Cristal
344,Qui Nhon,VN,78.4,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
349,Kapit,MY,74.41,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
351,Balkanabat,TM,74.98,overcast clouds,39.5108,54.3671,Nebitchi Hotel
357,Phan Thiet,VN,78.48,scattered clouds,10.9333,108.1,Hotel Saigon-PT
358,Ingham,US,80.78,broken clouds,42.6,-84.3833,Sunset Mobile Home Park
360,Khash,IR,72.72,scattered clouds,28.2211,61.2158,خوابگاه آبجی محدثه
366,Phalaborwa,ZA,75.34,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
371,Richards Bay,ZA,71.92,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
374,Hamilton,US,83.34,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
375,Buala,SB,79.68,light rain,-8.145,159.5921,Maringe Lagoon Lodge
380,Luau,AO,70.29,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
381,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
385,Acajutla,SV,85.73,few clouds,13.5928,-89.8275,Laureles
386,Rampur Hat,IN,84.94,clear sky,24.1667,87.7833,Amantran Resort
387,Mitzic,GA,70.92,overcast clouds,0.7821,11.549,Motel Emys
388,Sungai Udang,MY,78.24,overcast clouds,2.269,102.1427,SGU Hotel
389,Jardim,BR,89.83,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
395,Marigot,MF,80.04,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
401,Dong Xoai,VN,77.02,clear sky,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
